ticker,date,entry_target,initial_stop,next_earnings_date,absent_earnings_data
CENX,2024-04-30,18.639999389648438,15.869999885559082,2024-05-01,0
VRT,2024-05-30,109.27100372314453,87.36000061035156,2024-07-24,0
TMDX,2024-07-03,154.13999938964844,133.00999450683594,,1
NSSC,2024-08-22,58.09000015258789,46.77000045776367,,1
POWL,2024-08-30,66.163330078125,47.66666793823242,,1
TRUP,2024-09-06,48.849998474121094,33.84000015258789,,1
CHWY,2024-09-26,33.18000030517578,25.191999435424805,2024-12-04,0
CHWY,2024-09-27,33.18000030517578,25.191999435424805,2024-12-04,0
MPT,2024-10-01,6.550000190734863,4.559999942779541,,1
LUMN,2024-10-04,7.579999923706055,5.150000095367432,,1
PTCT,2025-02-21,52.95000076293945,44.439998626708984,,1
AHR,2025-04-23,31.608999252319336,26.479999542236328,2025-05-08,0
AAP,2025-08-28,62.36000061035156,51.84000015258789,2025-10-30,0
AAP,2025-08-29,62.36000061035156,51.959999084472656,2025-10-30,0
HL,2025-10-24,15.4399995803833,11.479999542236328,,1
ENVA,2025-11-19,133.3300018310547,111.93000030517578,2026-01-27,0
FIVE,2025-12-01,167.9199981689453,143.02000427246094,2025-12-03,0
PARR,2025-12-05,48.400001525878906,40.0,,1
WFRD,2025-12-05,78.04000091552734,68.48999786376953,,1
ALGT,2025-12-23,93.0,68.54000091552734,2026-02-04,0
FSLR,2025-12-26,285.989990234375,249.0,2026-02-24,0
ALGT,2025-12-29,93.0,73.69999694824219,2026-02-04,0
DOCN,2025-12-31,51.900001525878906,43.810001373291016,2026-02-24,0
FSLR,2025-12-31,285.989990234375,249.0,2026-02-24,0
MXL,2026-01-27,20.81999969482422,17.40999984741211,,1
CYTK,2026-02-18,67.88999938964844,60.04999923706055,2026-02-24,0
SMTC,2026-02-19,92.5,76.01000213623047,,1
BTSG,2026-02-20,41.400001525878906,36.869998931884766,2026-02-27,0
VSAT,2026-02-23,49.68000030517578,36.709999084472656,,1
BTSG,2026-02-25,41.400001525878906,36.869998931884766,2026-02-27,0
VSCO,2026-02-25,64.95999908447266,53.27000045776367,,1
WLK,2026-03-26,116.45999908447266,97.9000015258789,,1
WLK,2026-03-27,116.45999908447266,99.33999633789062,,1
BWXT,2026-04-07,222.2899932861328,188.83999633789062,2026-05-04,0
PTGX,2026-04-21,107.83999633789062,95.4000015258789,,1
