variable_name,kind,sweep_point,aplus_count,watch_count,skip_count,excluded_count,delta_aplus,delta_watch,out_of_range_skip_count,ohlcv_coverage_skip_count,evaluation_error_skip_count
trend_template.min_passes,gate,5,5,1321,4252,0,0,0,0,88,0
trend_template.min_passes,gate,6,5,1321,4252,0,0,0,0,88,0
trend_template.min_passes,gate,7,5,1321,4252,0,0,0,0,88,0
trend_template.min_passes,gate,8,5,1230,4343,0,0,-91,0,88,0
trend_template.min_passes,gate,9,0,0,0,0,-5,-1321,5578,88,0
vcp.watch_max_fails,gate,0,5,0,5573,0,0,-1321,0,88,0
vcp.watch_max_fails,gate,1,5,247,5326,0,0,-1074,0,88,0
vcp.watch_max_fails,gate,2,5,1321,4252,0,0,0,0,88,0
vcp.watch_max_fails,gate,3,5,3070,2503,0,0,1749,0,88,0
vcp.watch_max_fails,gate,4,5,4188,1385,0,0,2867,0,88,0
trend_template.rising_ma_period_days,threshold_additive,11,5,1321,4252,0,0,0,0,88,0
trend_template.rising_ma_period_days,threshold_additive,12,5,1321,4252,0,0,0,0,88,0
trend_template.rising_ma_period_days,threshold_additive,13,5,1321,4252,0,0,0,0,88,0
trend_template.rising_ma_period_days,threshold_additive,14,5,1321,4252,0,0,0,0,88,0
trend_template.rising_ma_period_days,threshold_additive,15,5,1321,4252,0,0,0,0,88,0
trend_template.rising_ma_period_days,threshold_additive,16,5,1321,4252,0,0,0,0,88,0
trend_template.rising_ma_period_days,threshold_additive,17,5,1321,4252,0,0,0,0,88,0
trend_template.rising_ma_period_days,threshold_additive,18,5,1321,4252,0,0,0,0,88,0
trend_template.rising_ma_period_days,threshold_additive,19,5,1321,4252,0,0,0,0,88,0
trend_template.rising_ma_period_days,threshold_additive,20,5,1321,4252,0,0,0,0,88,0
trend_template.rising_ma_period_days,threshold_additive,21,5,1321,4252,0,0,0,0,88,0
trend_template.rising_ma_period_days,threshold_additive,22,5,1321,4252,0,0,0,0,88,0
trend_template.rising_ma_period_days,threshold_additive,23,5,1321,4252,0,0,0,0,88,0
trend_template.rising_ma_period_days,threshold_additive,24,5,1321,4252,0,0,0,0,88,0
trend_template.rising_ma_period_days,threshold_additive,25,5,1321,4252,0,0,0,0,88,0
trend_template.rising_ma_period_days,threshold_additive,26,5,1321,4252,0,0,0,0,88,0
trend_template.rising_ma_period_days,threshold_additive,27,5,1321,4252,0,0,0,0,88,0
trend_template.rising_ma_period_days,threshold_additive,28,5,1321,4252,0,0,0,0,88,0
trend_template.rising_ma_period_days,threshold_additive,29,5,1321,4252,0,0,0,0,88,0
