variable_name,kind,sweep_point,aplus_count,watch_count,skip_count,excluded_count,delta_aplus,delta_watch,out_of_range_skip_count,ohlcv_coverage_skip_count,evaluation_error_skip_count
trend_template.rising_ma_period_days,threshold_additive,30,5,1320,4253,0,0,-1,0,88,0
trend_template.rising_ma_period_days,threshold_additive,31,5,1320,4253,0,0,-1,0,88,0
trend_template.high_52w_margin_pct,threshold_multiplicative,12.5,5,1311,4262,0,0,-10,0,88,0
trend_template.high_52w_margin_pct,threshold_multiplicative,18.75,5,1321,4252,0,0,0,0,88,0
trend_template.high_52w_margin_pct,threshold_multiplicative,25.0,5,1321,4252,0,0,0,0,88,0
trend_template.high_52w_margin_pct,threshold_multiplicative,31.25,5,1321,4252,0,0,0,0,88,0
trend_template.high_52w_margin_pct,threshold_multiplicative,37.5,5,1321,4252,0,0,0,0,88,0
trend_template.low_52w_min_pct,threshold_multiplicative,15.0,5,1321,4252,0,0,0,0,88,0
trend_template.low_52w_min_pct,threshold_multiplicative,22.5,5,1321,4252,0,0,0,0,88,0
trend_template.low_52w_min_pct,threshold_multiplicative,30.0,5,1321,4252,0,0,0,0,88,0
trend_template.low_52w_min_pct,threshold_multiplicative,37.5,5,1321,4252,0,0,0,0,88,0
trend_template.low_52w_min_pct,threshold_multiplicative,45.0,5,1321,4252,0,0,0,0,88,0
vcp.prior_trend_min_pct,threshold_multiplicative,12.5,5,1321,4252,0,0,0,0,88,0
vcp.prior_trend_min_pct,threshold_multiplicative,18.75,5,1321,4252,0,0,0,0,88,0
vcp.prior_trend_min_pct,threshold_multiplicative,25.0,5,1321,4252,0,0,0,0,88,0
vcp.prior_trend_min_pct,threshold_multiplicative,31.25,5,1309,4264,0,0,-12,0,88,0
vcp.prior_trend_min_pct,threshold_multiplicative,37.5,5,1297,4276,0,0,-24,0,88,0
vcp.adr_min_pct,threshold_multiplicative,2.0,16,1890,3672,0,11,569,0,88,0
vcp.adr_min_pct,threshold_multiplicative,3.0,12,1650,3916,0,7,329,0,88,0
vcp.adr_min_pct,threshold_multiplicative,4.0,5,1321,4252,0,0,0,0,88,0
vcp.adr_min_pct,threshold_multiplicative,5.0,3,1040,4535,0,-2,-281,0,88,0
vcp.adr_min_pct,threshold_multiplicative,6.0,3,804,4771,0,-2,-517,0,88,0
vcp.pullback_max_pct,threshold_multiplicative,12.5,5,1316,4257,0,0,-5,0,88,0
vcp.pullback_max_pct,threshold_multiplicative,18.75,5,1321,4252,0,0,0,0,88,0
vcp.pullback_max_pct,threshold_multiplicative,25.0,5,1321,4252,0,0,0,0,88,0
vcp.pullback_max_pct,threshold_multiplicative,31.25,5,1321,4252,0,0,0,0,88,0
vcp.pullback_max_pct,threshold_multiplicative,37.5,5,1321,4252,0,0,0,0,88,0
vcp.proximity_max_pct,threshold_multiplicative,2.5,0,1090,4488,0,-5,-231,0,88,0
vcp.proximity_max_pct,threshold_multiplicative,3.75,0,1191,4387,0,-5,-130,0,88,0
vcp.proximity_max_pct,threshold_multiplicative,5.0,5,1321,4252,0,0,0,0,88,0
vcp.proximity_max_pct,threshold_multiplicative,6.25,9,1449,4120,0,4,128,0,88,0
vcp.proximity_max_pct,threshold_multiplicative,7.5,10,1555,4013,0,5,234,0,88,0
vcp.tightness_days_required,threshold_additive,0,0,0,0,0,-5,-1321,5578,88,0
vcp.tightness_days_required,threshold_additive,1,21,1567,3990,0,16,246,0,88,0
vcp.tightness_days_required,threshold_additive,2,5,1321,4252,0,0,0,0,88,0
vcp.tightness_days_required,threshold_additive,3,3,1251,4324,0,-2,-70,0,88,0
vcp.tightness_days_required,threshold_additive,4,3,1224,4351,0,-2,-97,0,88,0
vcp.tightness_range_factor,threshold_multiplicative,0.335,0,1214,4364,0,-5,-107,0,88,0
vcp.tightness_range_factor,threshold_multiplicative,0.5025,0,1224,4354,0,-5,-97,0,88,0
vcp.tightness_range_factor,threshold_multiplicative,0.67,5,1321,4252,0,0,0,0,88,0
vcp.tightness_range_factor,threshold_multiplicative,0.8375,34,1530,4014,0,29,209,0,88,0
vcp.tightness_range_factor,threshold_multiplicative,1.005,80,1848,3650,0,75,527,0,88,0
vcp.orderliness_max_bar_ratio,threshold_multiplicative,1.5,0,343,5235,0,-5,-978,0,88,0
vcp.orderliness_max_bar_ratio,threshold_multiplicative,2.25,4,1004,4570,0,-1,-317,0,88,0
vcp.orderliness_max_bar_ratio,threshold_multiplicative,3.0,5,1321,4252,0,0,0,0,88,0
vcp.orderliness_max_bar_ratio,threshold_multiplicative,3.75,6,1419,4153,0,1,98,0,88,0
vcp.orderliness_max_bar_ratio,threshold_multiplicative,4.5,6,1434,4138,0,1,113,0,88,0
vcp.orderliness_max_range_cv,threshold_multiplicative,0.3,0,435,5143,0,-5,-886,0,88,0
vcp.orderliness_max_range_cv,threshold_multiplicative,0.45,4,1163,4411,0,-1,-158,0,88,0
vcp.orderliness_max_range_cv,threshold_multiplicative,0.6,5,1321,4252,0,0,0,0,88,0
vcp.orderliness_max_range_cv,threshold_multiplicative,0.75,5,1325,4248,0,0,4,0,88,0
vcp.orderliness_max_range_cv,threshold_multiplicative,0.9,5,1325,4248,0,0,4,0,88,0
risk.max_risk_pct,threshold_multiplicative,0.0025,5,1166,4407,0,0,-155,0,88,0
risk.max_risk_pct,threshold_multiplicative,0.00375,5,1302,4271,0,0,-19,0,88,0
risk.max_risk_pct,threshold_multiplicative,0.005,5,1321,4252,0,0,0,0,88,0
risk.max_risk_pct,threshold_multiplicative,0.00625,5,1337,4236,0,0,16,0,88,0
risk.max_risk_pct,threshold_multiplicative,0.0075,5,1340,4233,0,0,19,0,88,0
rs.horizon_weeks,threshold_additive,10,5,1321,4252,0,0,0,0,88,0
rs.horizon_weeks,threshold_additive,11,5,1321,4252,0,0,0,0,88,0
rs.horizon_weeks,threshold_additive,12,5,1321,4252,0,0,0,0,88,0
rs.horizon_weeks,threshold_additive,13,5,1321,4252,0,0,0,0,88,0
rs.horizon_weeks,threshold_additive,14,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,60,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,61,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,62,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,63,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,64,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,65,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,66,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,67,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,68,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,69,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,70,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,71,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,72,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,73,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,74,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,75,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,76,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,77,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,78,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,79,5,1321,4252,0,0,0,0,88,0
rs.rs_rank_min_pass,threshold_additive,80,5,1321,4252,0,0,0,0,88,0
rs.fallback_extreme_pct,threshold_multiplicative,10.0,5,1321,4252,0,0,0,0,88,0
rs.fallback_extreme_pct,threshold_multiplicative,15.0,5,1321,4252,0,0,0,0,88,0
rs.fallback_extreme_pct,threshold_multiplicative,20.0,5,1321,4252,0,0,0,0,88,0
rs.fallback_extreme_pct,threshold_multiplicative,25.0,5,1321,4252,0,0,0,0,88,0
rs.fallback_extreme_pct,threshold_multiplicative,30.0,5,1321,4252,0,0,0,0,88,0
