ticker,hypothesis,action,qty,price,price_favorable,session
MRVI,Broad-watch baseline,exit,100.0000,5.0300,5.0300,2026-06-18
TVTX,Broad-watch baseline,partial,50.0000,57.6900,57.6900,2026-06-24
TVTX,Broad-watch baseline,mtm,50.0000,58.3000,58.3000,2026-06-29
ALGM,Broad-watch baseline,exit,100.0000,56.2901,56.2901,2026-06-23
AMN,Broad-watch baseline,mtm,100.0000,32.3800,32.3800,2026-06-29
AMRX,Broad-watch baseline,partial,50.0000,17.3200,17.3200,2026-06-25
AMRX,Broad-watch baseline,mtm,50.0000,17.2900,17.2900,2026-06-29
ARMK,Broad-watch baseline,mtm,100.0000,56.2300,56.2300,2026-06-29
AVR,Broad-watch baseline,mtm,100.0000,9.7800,9.7800,2026-06-29
CIFR,Broad-watch baseline,exit,100.0000,26.1150,26.5600,2026-06-23
DFTX,Broad-watch baseline,partial,50.0000,44.7900,44.7900,2026-06-25
DFTX,Broad-watch baseline,mtm,50.0000,46.5500,46.5500,2026-06-29
LTH,Broad-watch baseline,partial,50.0000,39.8600,39.8600,2026-06-25
LTH,Broad-watch baseline,mtm,50.0000,41.3000,41.3000,2026-06-29
MRX,Broad-watch baseline,partial,50.0000,64.1200,64.1200,2026-06-25
MRX,Broad-watch baseline,exit,50.0000,60.8701,60.8701,2026-06-29
PII,Broad-watch baseline,exit,100.0000,71.2500,71.2500,2026-06-26
TNA,Broad-watch baseline,exit,100.0000,70.9800,70.9800,2026-06-29
TVTX,Broad-watch baseline,partial,50.0000,59.0300,59.0300,2026-06-25
TVTX,Broad-watch baseline,mtm,50.0000,58.3000,58.3000,2026-06-29
ULCC,Broad-watch baseline,partial,50.0000,8.0600,8.0600,2026-06-25
ULCC,Broad-watch baseline,mtm,50.0000,7.5000,7.5000,2026-06-29
URTY,Broad-watch baseline,exit,100.0000,82.6900,82.6900,2026-06-29
VSTS,Broad-watch baseline,partial,50.0000,14.8300,14.8300,2026-06-29
VSTS,Broad-watch baseline,mtm,50.0000,14.8300,14.8300,2026-06-29
WULF,Broad-watch baseline,exit,100.0000,26.7500,28.0900,2026-06-23
CVS,Broad-watch baseline,mtm,100.0000,103.5800,103.5800,2026-06-29
TSMX,Broad-watch baseline,exit,100.0000,89.6636,90.5000,2026-06-23
UBS,Broad-watch baseline,exit,100.0000,50.2800,50.2800,2026-06-23
UDOW,Broad-watch baseline,exit,100.0000,67.7800,68.4500,2026-06-26
AMN,Broad-watch baseline,mtm,100.0000,32.3800,32.3800,2026-06-29
ARMK,Broad-watch baseline,mtm,100.0000,56.2300,56.2300,2026-06-29
BEN,Broad-watch baseline,exit,100.0000,33.2700,33.2700,2026-06-24
CVS,Broad-watch baseline,mtm,100.0000,103.5800,103.5800,2026-06-29
MRX,Broad-watch baseline,exit,100.0000,63.2400,63.2400,2026-06-26
PII,Broad-watch baseline,exit,100.0000,71.2500,71.2500,2026-06-26
UDOW,Broad-watch baseline,exit,100.0000,67.7800,68.4500,2026-06-26
ULCC,Broad-watch baseline,partial,50.0000,7.8500,7.8500,2026-06-26
ULCC,Broad-watch baseline,mtm,50.0000,7.5000,7.5000,2026-06-29
VSTS,Broad-watch baseline,partial,50.0000,14.8300,14.8300,2026-06-29
VSTS,Broad-watch baseline,mtm,50.0000,14.8300,14.8300,2026-06-29
DFTX,Broad-watch baseline,partial,50.0000,44.9500,44.9500,2026-06-26
DFTX,Broad-watch baseline,mtm,50.0000,46.5500,46.5500,2026-06-29
AMN,Broad-watch baseline,mtm,100.0000,32.3800,32.3800,2026-06-29
ARMK,Broad-watch baseline,mtm,100.0000,56.2300,56.2300,2026-06-29
IMVT,Broad-watch baseline,exit,100.0000,37.9800,37.9800,2026-06-26
PBI,Broad-watch baseline,mtm,100.0000,17.9200,17.9200,2026-06-29
PGNY,Broad-watch baseline,mtm,100.0000,28.8600,28.8600,2026-06-29
PII,Broad-watch baseline,exit,100.0000,71.2500,71.2500,2026-06-26
TNA,Broad-watch baseline,exit,100.0000,72.2900,72.4399,2026-06-26
UDOW,Broad-watch baseline,exit,100.0000,67.7800,68.4500,2026-06-26
URTY,Broad-watch baseline,exit,100.0000,84.1800,84.3250,2026-06-26
VSTS,Broad-watch baseline,partial,50.0000,14.8300,14.8300,2026-06-29
VSTS,Broad-watch baseline,mtm,50.0000,14.8300,14.8300,2026-06-29
AMN,Broad-watch baseline,mtm,100.0000,32.3800,32.3800,2026-06-29
ARMK,Broad-watch baseline,mtm,100.0000,56.2300,56.2300,2026-06-29
