exemplar_id,ticker,timing_mode,session,h1_outcome,bucket,fired_faithful_expected,fired_isolated_expected,fired_classes_faithful,fired_classes_isolated
twosmw-fig10-34-crus,CRUS,single_session,2010-03-30,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2009-12-31,surfaced_watch,watch,False,True,,cup_with_handle;vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-04,skip_gate_rejection,skip,False,True,,cup_with_handle;flat_base;vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-05,surfaced_watch,watch,False,True,,cup_with_handle;flat_base;vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-06,surfaced_watch,watch,False,True,,cup_with_handle;flat_base;vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-07,surfaced_watch,watch,False,True,,cup_with_handle;flat_base;vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-08,surfaced_watch,watch,False,True,,cup_with_handle;flat_base;vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-11,surfaced_watch,watch,False,True,,cup_with_handle;flat_base;vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-12,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-13,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-14,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-15,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-19,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-20,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-21,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-22,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-25,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-26,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-27,skip_gate_rejection,skip,False,False,,
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-28,surfaced_watch,watch,False,False,,
twosmw-fig10-34-crus,CRUS,window_sweep,2010-01-29,skip_gate_rejection,skip,False,False,,
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-01,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-02,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-03,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-04,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-05,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-08,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-09,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-10,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-11,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-12,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-16,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-17,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-18,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-19,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-22,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-23,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-24,skip_gate_rejection,skip,False,False,,
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-25,skip_gate_rejection,skip,False,False,,
twosmw-fig10-34-crus,CRUS,window_sweep,2010-02-26,skip_gate_rejection,skip,True,True,vcp,vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-01,skip_gate_rejection,skip,True,True,vcp,vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-02,skip_gate_rejection,skip,True,True,vcp,vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-03,skip_gate_rejection,skip,True,True,vcp,vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-04,skip_gate_rejection,skip,True,True,vcp,vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-05,skip_gate_rejection,skip,False,True,,vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-08,skip_gate_rejection,skip,True,True,vcp,vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-09,skip_gate_rejection,skip,True,True,vcp,vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-10,skip_gate_rejection,skip,True,True,vcp,vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-11,skip_gate_rejection,skip,True,True,vcp,vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-12,skip_gate_rejection,skip,False,True,,flat_base;vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-15,surfaced_watch,watch,False,True,,flat_base;vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-16,surfaced_watch,watch,False,True,,flat_base;vcp
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-17,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-18,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-19,surfaced_watch,watch,False,False,,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-22,surfaced_watch,watch,False,False,,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-23,surfaced_watch,watch,False,False,,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-24,surfaced_watch,watch,False,False,,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-25,surfaced_watch,watch,False,False,,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-26,surfaced_watch,watch,False,False,,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-29,surfaced_watch,watch,False,False,,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-30,skip_gate_rejection,skip,False,False,high_tight_flag,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-03-31,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-34-crus,CRUS,window_sweep,2010-04-01,skip_gate_rejection,skip,False,False,,
twosmw-fig10-34-crus,CRUS,window_sweep,2010-04-05,skip_gate_rejection,skip,False,False,,
twosmw-fig10-34-crus,CRUS,window_sweep,2010-04-06,skip_gate_rejection,skip,False,False,,
twosmw-fig10-34-crus,CRUS,window_sweep,2010-04-07,skip_gate_rejection,skip,False,False,,
twosmw-gra-2004,GRA,single_session,2004-08-26,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-06-01,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-06-02,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-06-03,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-06-04,skip_gate_rejection,skip,None,None,,vcp
twosmw-gra-2004,GRA,window_sweep,2004-06-07,skip_gate_rejection,skip,None,None,,vcp
twosmw-gra-2004,GRA,window_sweep,2004-06-08,skip_gate_rejection,skip,None,None,,vcp
twosmw-gra-2004,GRA,window_sweep,2004-06-09,skip_gate_rejection,skip,None,None,,vcp
twosmw-gra-2004,GRA,window_sweep,2004-06-10,skip_gate_rejection,skip,None,None,,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-06-14,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-06-15,skip_gate_rejection,skip,None,None,,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-06-16,skip_gate_rejection,skip,None,None,,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-06-17,skip_gate_rejection,skip,None,None,,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-06-18,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-06-21,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-06-22,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-06-23,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-06-24,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-06-25,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-06-28,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-06-29,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-06-30,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-07-01,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-07-02,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-07-06,surfaced_watch,watch,None,None,vcp,vcp
twosmw-gra-2004,GRA,window_sweep,2004-07-07,surfaced_watch,watch,None,None,vcp,vcp
twosmw-gra-2004,GRA,window_sweep,2004-07-08,surfaced_watch,watch,None,None,vcp,vcp
twosmw-gra-2004,GRA,window_sweep,2004-07-09,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-07-12,surfaced_watch,watch,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-07-13,surfaced_watch,watch,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-07-14,surfaced_watch,watch,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-07-15,surfaced_watch,watch,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-07-16,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-07-19,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-07-20,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-07-21,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-07-22,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-07-23,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-07-26,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-07-27,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-07-28,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-07-29,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-07-30,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-08-02,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-08-03,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-08-04,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-08-05,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-08-06,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-08-09,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-08-10,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-08-11,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-08-12,surfaced_watch,watch,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-08-13,surfaced_watch,watch,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-08-16,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-08-17,surfaced_watch,watch,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-08-18,surfaced_watch,watch,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-08-19,surfaced_watch,watch,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-08-20,surfaced_watch,watch,None,None,high_tight_flag,high_tight_flag
