ticker,asof_date,cohort_label
SEI,2026-05-11,v2_vcp_proximity_max_pct_sp7_5
YOU,2026-04-27,v2_vcp_proximity_max_pct_sp7_5
SLDB,2026-04-22,v2_vcp_proximity_max_pct_sp7_5
