ticker,hypothesis,action,qty,price,price_favorable,session
SHOO,Broad-watch baseline,mtm,100.0000,46.0800,46.0800,2026-07-31
ULCC,Broad-watch baseline,partial,50.0000,8.0600,8.0600,2026-06-25
ULCC,Broad-watch baseline,exit,50.0000,7.1050,7.1050,2026-07-08
VSTS,Broad-watch baseline,partial,50.0000,14.8300,14.8300,2026-06-29
VSTS,Broad-watch baseline,exit,50.0000,13.5200,13.5200,2026-07-07
WERN,Broad-watch baseline,partial,50.0000,47.2900,47.2900,2026-07-21
WERN,Broad-watch baseline,exit,50.0000,45.2700,45.2700,2026-07-23
ALGM,Broad-watch baseline,exit,100.0000,56.2901,56.2901,2026-06-23
AMN,Broad-watch baseline,exit,100.0000,30.8500,30.8500,2026-06-18
ARMK,Broad-watch baseline,partial,50.0000,56.9000,56.9000,2026-06-30
ARMK,Broad-watch baseline,exit,50.0000,56.9700,56.9700,2026-07-31
AVR,Broad-watch baseline,exit,100.0000,9.3500,9.3500,2026-07-09
AXGN,Broad-watch baseline,exit,100.0000,42.2500,42.2500,2026-06-24
CNC,Broad-watch baseline,exit,100.0000,66.5500,66.5500,2026-07-06
DAL,Broad-watch baseline,partial,50.0000,93.1700,93.1700,2026-06-29
DAL,Broad-watch baseline,exit,50.0000,88.4300,88.4300,2026-07-07
EVC,Broad-watch baseline,partial,50.0000,12.0300,12.0300,2026-06-26
EVC,Broad-watch baseline,exit,50.0000,11.7500,11.7500,2026-07-09
NVCR,Broad-watch baseline,exit,100.0000,18.0000,18.0000,2026-07-24
PII,Broad-watch baseline,exit,100.0000,71.2500,71.2500,2026-06-26
SEI,Broad-watch baseline,exit,100.0000,76.9400,79.9200,2026-06-23
SHOO,Broad-watch baseline,mtm,100.0000,46.0800,46.0800,2026-07-31
TNA,Broad-watch baseline,exit,100.0000,70.9800,70.9800,2026-06-29
ULCC,Broad-watch baseline,partial,50.0000,8.0600,8.0600,2026-06-25
ULCC,Broad-watch baseline,exit,50.0000,7.1050,7.1050,2026-07-08
URTY,Broad-watch baseline,exit,100.0000,82.6900,82.6900,2026-06-29
VSTS,Broad-watch baseline,partial,50.0000,14.8300,14.8300,2026-06-29
VSTS,Broad-watch baseline,exit,50.0000,13.5200,13.5200,2026-07-07
WERN,Broad-watch baseline,partial,50.0000,47.2900,47.2900,2026-07-21
WERN,Broad-watch baseline,exit,50.0000,45.2700,45.2700,2026-07-23
CIFR,Broad-watch baseline,exit,100.0000,26.1150,26.5600,2026-06-23
MRVI,Broad-watch baseline,exit,100.0000,5.0300,5.0300,2026-06-18
TVTX,Broad-watch baseline,partial,50.0000,57.6900,57.6900,2026-06-24
TVTX,Broad-watch baseline,exit,50.0000,54.3800,54.3800,2026-07-13
ACHV,Broad-watch baseline,exit,100.0000,6.1600,6.1600,2026-07-02
ALGM,Broad-watch baseline,exit,100.0000,56.2901,56.2901,2026-06-23
AMN,Broad-watch baseline,partial,50.0000,33.2400,33.2400,2026-07-01
AMN,Broad-watch baseline,exit,50.0000,33.1300,33.1300,2026-07-07
AMRX,Broad-watch baseline,partial,50.0000,17.3200,17.3200,2026-06-25
AMRX,Broad-watch baseline,mtm,50.0000,18.3200,18.3200,2026-07-31
ARMK,Broad-watch baseline,partial,50.0000,56.9000,56.9000,2026-06-30
ARMK,Broad-watch baseline,exit,50.0000,56.9700,56.9700,2026-07-31
AVR,Broad-watch baseline,exit,100.0000,9.3500,9.3500,2026-07-09
CIFR,Broad-watch baseline,exit,100.0000,26.1150,26.5600,2026-06-23
CNC,Broad-watch baseline,exit,100.0000,66.5500,66.5500,2026-07-06
DFTX,Broad-watch baseline,partial,50.0000,44.7900,44.7900,2026-06-25
DFTX,Broad-watch baseline,exit,50.0000,43.4800,43.6500,2026-07-14
EVC,Broad-watch baseline,partial,50.0000,12.0300,12.0300,2026-06-26
EVC,Broad-watch baseline,exit,50.0000,11.7500,11.7500,2026-07-09
LTH,Broad-watch baseline,partial,50.0000,39.8600,39.8600,2026-06-25
LTH,Broad-watch baseline,exit,50.0000,42.4600,42.4600,2026-07-24
MRX,Broad-watch baseline,partial,50.0000,64.1200,64.1200,2026-06-25
MRX,Broad-watch baseline,exit,50.0000,60.8701,60.8701,2026-06-29
NVCR,A+ baseline,exit,100.0000,18.0000,18.0000,2026-07-24
PII,Broad-watch baseline,exit,100.0000,71.2500,71.2500,2026-06-26
SHOO,Broad-watch baseline,mtm,100.0000,46.0800,46.0800,2026-07-31
TNA,Broad-watch baseline,exit,100.0000,70.9800,70.9800,2026-06-29
TVTX,Broad-watch baseline,partial,50.0000,59.0300,59.0300,2026-06-25
TVTX,Broad-watch baseline,exit,50.0000,55.1050,55.1050,2026-07-02
ULCC,Broad-watch baseline,partial,50.0000,8.0600,8.0600,2026-06-25
ULCC,Broad-watch baseline,exit,50.0000,7.1050,7.1050,2026-07-08
URTY,Broad-watch baseline,exit,100.0000,82.6900,82.6900,2026-06-29
VSTS,Broad-watch baseline,partial,50.0000,14.8300,14.8300,2026-06-29
VSTS,Broad-watch baseline,exit,50.0000,13.5200,13.5200,2026-07-07
WULF,Broad-watch baseline,exit,100.0000,26.7500,28.0900,2026-06-23
CVS,Broad-watch baseline,exit,100.0000,102.7700,102.7700,2026-06-30
FROG,Broad-watch baseline,partial,50.0000,94.8100,94.8100,2026-07-02
FROG,Broad-watch baseline,exit,50.0000,89.1600,89.1600,2026-07-15
TSMX,Broad-watch baseline,exit,100.0000,89.6636,90.5000,2026-06-23
UBS,Broad-watch baseline,exit,100.0000,50.2800,50.2800,2026-06-23
UDOW,Broad-watch baseline,exit,100.0000,67.7800,68.4500,2026-06-26
AMN,Broad-watch baseline,partial,50.0000,33.2400,33.2400,2026-07-01
AMN,Broad-watch baseline,exit,50.0000,33.1300,33.1300,2026-07-07
BEN,Broad-watch baseline,exit,100.0000,33.2700,33.2700,2026-06-24
CNC,Broad-watch baseline,exit,100.0000,66.5500,66.5500,2026-07-06
CVS,Broad-watch baseline,exit,100.0000,102.7700,102.7700,2026-06-30
FROG,Broad-watch baseline,partial,50.0000,94.8100,94.8100,2026-07-02
FROG,Broad-watch baseline,exit,50.0000,89.1600,89.1600,2026-07-15
MRX,Broad-watch baseline,exit,100.0000,63.2400,63.2400,2026-06-26
PII,Broad-watch baseline,exit,100.0000,71.2500,71.2500,2026-06-26
SHOO,Broad-watch baseline,mtm,100.0000,46.0800,46.0800,2026-07-31
UDOW,Broad-watch baseline,exit,100.0000,67.7800,68.4500,2026-06-26
ULCC,Broad-watch baseline,partial,50.0000,7.8500,7.8500,2026-06-26
ULCC,Broad-watch baseline,exit,50.0000,7.1600,7.2350,2026-07-08
VSTS,Broad-watch baseline,partial,50.0000,14.8300,14.8300,2026-06-29
VSTS,Broad-watch baseline,exit,50.0000,13.5200,13.5200,2026-07-07
YETI,Broad-watch baseline,exit,100.0000,50.1700,50.1700,2026-07-21
DFTX,Broad-watch baseline,partial,50.0000,44.9500,44.9500,2026-06-26
DFTX,Broad-watch baseline,exit,50.0000,43.4800,43.6500,2026-07-14
ZVRA,Broad-watch baseline,exit,100.0000,13.9800,13.9800,2026-07-01
