pattern_id,ticker,ruleset_name,anchor_asof_date,trough_1_date,center_peak_price,trough_2_price,initial_stop,composite_score,entry_date,entry_price,exit_date,exit_price,exit_reason,r_multiple,days_held,status,forward_bars_available,max_forward_close,max_close_pct_of_peak,days_t2_to_asof
UCTT-2026-03-30,UCTT,B_fixed_R_multiple,2026-05-12,2026-03-30,83.0100,72.0100,71.2899,0.8333,2026-05-14,85.0900,2026-05-22,84.0100,open_at_data_tail,-0.0783,8,open,8,86.3800,104.1,13
UCTT-2026-03-30,UCTT,C_close_below_50d,2026-05-12,2026-03-30,83.0100,72.0100,71.2899,0.8333,2026-05-14,85.0900,2026-05-22,84.0100,open_at_data_tail,-0.0783,8,open,8,86.3800,104.1,13
WULF-2026-03-06,WULF,A_minervini_trail_ma,2026-05-15,2026-03-06,16.8600,13.7000,13.5630,0.9293,,,,,untriggered,,,untriggered,0,,,46
WULF-2026-03-06,WULF,B_fixed_R_multiple,2026-05-15,2026-03-06,16.8600,13.7000,13.5630,0.9293,,,,,untriggered,,,untriggered,0,,,46
WULF-2026-03-06,WULF,C_close_below_50d,2026-05-15,2026-03-06,16.8600,13.7000,13.5630,0.9293,,,,,untriggered,,,untriggered,0,,,46
YOU-2026-02-03,YOU,A_minervini_trail_ma,2026-04-28,2026-02-03,48.9200,44.6300,44.1837,0.7764,2026-04-30,53.2800,2026-05-22,60.0600,open_at_data_tail,0.7454,22,open,18,62.0100,126.8,46
YOU-2026-02-03,YOU,B_fixed_R_multiple,2026-04-28,2026-02-03,48.9200,44.6300,44.1837,0.7764,2026-04-30,53.2800,2026-05-22,60.0600,open_at_data_tail,0.7454,22,open,18,62.0100,126.8,46
YOU-2026-02-03,YOU,C_close_below_50d,2026-04-28,2026-02-03,48.9200,44.6300,44.1837,0.7764,2026-04-30,53.2800,2026-05-22,60.0600,open_at_data_tail,0.7454,22,open,18,62.0100,126.8,46
YOU-2026-04-29,YOU,A_minervini_trail_ma,2026-05-22,2026-04-29,60.9400,55.5400,54.9846,0.8333,,,,,untriggered,,,untriggered,0,,,9
YOU-2026-04-29,YOU,B_fixed_R_multiple,2026-05-22,2026-04-29,60.9400,55.5400,54.9846,0.8333,,,,,untriggered,,,untriggered,0,,,9
YOU-2026-04-29,YOU,C_close_below_50d,2026-05-22,2026-04-29,60.9400,55.5400,54.9846,0.8333,,,,,untriggered,,,untriggered,0,,,9
