exemplar_id,ticker,timing_mode,session,h1_outcome,bucket,fired_faithful_expected,fired_isolated_expected,fired_classes_faithful,fired_classes_isolated
twosmw-fig10-40-lulu,LULU,single_session,2010-11-05,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-08-12,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-08-13,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-08-16,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-08-17,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-08-18,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-08-19,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-08-20,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-08-23,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-08-24,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-08-25,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-08-26,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-08-27,skip_gate_rejection,skip,False,False,,
twosmw-fig10-40-lulu,LULU,window_sweep,2010-08-30,skip_gate_rejection,skip,False,False,,
twosmw-fig10-40-lulu,LULU,window_sweep,2010-08-31,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-01,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-02,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-03,skip_gate_rejection,skip,False,True,,double_bottom_w;high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-07,skip_gate_rejection,skip,False,True,,double_bottom_w;high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-08,skip_gate_rejection,skip,False,True,,double_bottom_w
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-09,skip_gate_rejection,skip,False,True,,double_bottom_w
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-10,skip_gate_rejection,skip,False,True,,double_bottom_w
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-13,skip_gate_rejection,skip,False,True,,double_bottom_w
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-14,skip_gate_rejection,skip,False,True,,double_bottom_w
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-15,skip_gate_rejection,skip,False,True,,double_bottom_w
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-16,skip_gate_rejection,skip,False,True,,double_bottom_w
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-17,skip_gate_rejection,skip,False,True,,double_bottom_w
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-20,skip_gate_rejection,skip,False,True,,double_bottom_w;vcp
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-21,skip_gate_rejection,skip,False,True,,double_bottom_w;vcp
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-22,skip_gate_rejection,skip,False,True,,double_bottom_w;vcp
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-23,skip_gate_rejection,skip,False,True,,double_bottom_w;vcp
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-24,skip_gate_rejection,skip,False,True,,double_bottom_w;vcp
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-27,skip_gate_rejection,skip,False,True,,double_bottom_w;vcp
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-28,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-29,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-09-30,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-01,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-04,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-05,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-06,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-07,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-08,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-11,surfaced_watch,watch,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-12,surfaced_watch,watch,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-13,surfaced_watch,watch,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-14,surfaced_watch,watch,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-15,surfaced_watch,watch,False,False,,high_tight_flag
