pattern_id,ticker,ruleset_name,anchor_asof_date,effective_asof_date,max_observed_asof_date,trough_1_date,center_peak_price,trough_2_price,initial_stop,composite_score,triggered,entry_date,entry_price,exit_date,exit_price,exit_reason,r_multiple,trade_pnl_dollars,peak_unrealized_R,drawdown_to_exit_R,days_held,status,forward_bars_available,max_forward_close,max_close_pct_of_peak,days_t2_to_asof
TSHA-2026-02-05,TSHA,C_close_below_50d,2026-05-13,2026-05-13,2026-05-13,2026-02-05,4.8900,4.1300,4.0887,0.7326,true,2026-05-15,6.1600,2026-05-19,5.1850,close_below_50d,-0.4707,-17.65,0.0381,0.5089,2,closed,7,6.3000,128.8,50
TSHA-2026-03-24,TSHA,A_minervini_trail_ma,2026-05-13,2026-05-13,2026-05-13,2026-03-24,4.5800,4.0700,4.0293,0.7667,true,2026-05-15,6.1600,2026-05-19,5.1850,close_below_50d,-0.4576,-17.16,0.0371,0.4947,2,closed,7,6.3000,137.6,47
TSHA-2026-03-24,TSHA,B_fixed_R_multiple,2026-05-13,2026-05-13,2026-05-13,2026-03-24,4.5800,4.0700,4.0293,0.7667,true,2026-05-15,6.1600,2026-05-22,5.4900,open_at_data_tail,-0.3145,-11.79,0.0371,0.3515,5,open,7,6.3000,137.6,47
TSHA-2026-03-24,TSHA,C_close_below_50d,2026-05-13,2026-05-13,2026-05-13,2026-03-24,4.5800,4.0700,4.0293,0.7667,true,2026-05-15,6.1600,2026-05-19,5.1850,close_below_50d,-0.4576,-17.16,0.0371,0.4947,2,closed,7,6.3000,137.6,47
UCTT-2026-03-06,UCTT,A_minervini_trail_ma,2026-05-12,2026-05-12,2026-05-12,2026-03-06,65.2700,55.8900,55.3311,0.7722,true,2026-05-14,85.0900,2026-05-22,84.0100,open_at_data_tail,-0.0363,-1.36,0.1146,0.1509,6,open,8,86.3800,132.3,43
UCTT-2026-03-06,UCTT,B_fixed_R_multiple,2026-05-12,2026-05-12,2026-05-12,2026-03-06,65.2700,55.8900,55.3311,0.7722,true,2026-05-14,85.0900,2026-05-22,84.0100,open_at_data_tail,-0.0363,-1.36,0.1146,0.1509,6,open,8,86.3800,132.3,43
UCTT-2026-03-06,UCTT,C_close_below_50d,2026-05-12,2026-05-12,2026-05-12,2026-03-06,65.2700,55.8900,55.3311,0.7722,true,2026-05-14,85.0900,2026-05-22,84.0100,open_at_data_tail,-0.0363,-1.36,0.1146,0.1509,6,open,8,86.3800,132.3,43
UCTT-2026-03-30,UCTT,A_minervini_trail_ma,2026-05-12,2026-05-12,2026-05-12,2026-03-30,83.0100,72.0100,71.2899,0.8333,true,2026-05-14,85.0900,2026-05-22,84.0100,open_at_data_tail,-0.0783,-2.93,0.2471,0.3254,6,open,8,86.3800,104.1,13
UCTT-2026-03-30,UCTT,B_fixed_R_multiple,2026-05-12,2026-05-12,2026-05-12,2026-03-30,83.0100,72.0100,71.2899,0.8333,true,2026-05-14,85.0900,2026-05-22,84.0100,open_at_data_tail,-0.0783,-2.93,0.2471,0.3254,6,open,8,86.3800,104.1,13
UCTT-2026-03-30,UCTT,C_close_below_50d,2026-05-12,2026-05-12,2026-05-12,2026-03-30,83.0100,72.0100,71.2899,0.8333,true,2026-05-14,85.0900,2026-05-22,84.0100,open_at_data_tail,-0.0783,-2.93,0.2471,0.3254,6,open,8,86.3800,104.1,13
WULF-2026-03-06,WULF,A_minervini_trail_ma,2026-05-15,2026-05-15,2026-05-15,2026-03-06,16.8600,13.7000,13.5630,0.9293,true,2026-05-19,20.8000,2026-05-22,22.8200,open_at_data_tail,0.2791,10.47,0.3372,0.0580,3,open,5,22.9200,135.9,46
WULF-2026-03-06,WULF,B_fixed_R_multiple,2026-05-15,2026-05-15,2026-05-15,2026-03-06,16.8600,13.7000,13.5630,0.9293,true,2026-05-19,20.8000,2026-05-22,22.8200,open_at_data_tail,0.2791,10.47,0.3372,0.0580,3,open,5,22.9200,135.9,46
WULF-2026-03-06,WULF,C_close_below_50d,2026-05-15,2026-05-15,2026-05-15,2026-03-06,16.8600,13.7000,13.5630,0.9293,true,2026-05-19,20.8000,2026-05-22,22.8200,open_at_data_tail,0.2791,10.47,0.3372,0.0580,3,open,5,22.9200,135.9,46
YOU-2026-04-29,YOU,A_minervini_trail_ma,2026-05-22,2026-05-22,2026-05-22,2026-04-29,60.9400,55.5400,54.9846,0.8333,false,,,,,untriggered,,,,,,untriggered,0,,,9
YOU-2026-04-29,YOU,B_fixed_R_multiple,2026-05-22,2026-05-22,2026-05-22,2026-04-29,60.9400,55.5400,54.9846,0.8333,false,,,,,untriggered,,,,,,untriggered,0,,,9
YOU-2026-04-29,YOU,C_close_below_50d,2026-05-22,2026-05-22,2026-05-22,2026-04-29,60.9400,55.5400,54.9846,0.8333,false,,,,,untriggered,,,,,,untriggered,0,,,9
