pattern_id,ticker,ruleset_name,anchor_asof_date,trough_1_date,center_peak_price,trough_2_price,initial_stop,composite_score,triggered,entry_date,entry_price,exit_date,exit_price,exit_reason,r_multiple,trade_pnl_dollars,peak_unrealized_R,drawdown_to_exit_R,days_held,status,forward_bars_available,max_forward_close,max_close_pct_of_peak,days_t2_to_asof
DK-2021-06-18,DK,A_minervini_trail_ma,2026-05-15,2021-06-18,23.4200,16.0700,15.9093,0.7667,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1179,-4.42,0.0232,0.1411,2,closed,5,45.5400,194.4,1761
DK-2021-06-18,DK,B_fixed_R_multiple,2026-05-15,2021-06-18,23.4200,16.0700,15.9093,0.7667,true,2026-05-19,45.6000,2026-05-22,43.6800,open_at_data_tail,-0.0647,-2.42,0.0232,0.0879,3,open,5,45.5400,194.4,1761
DK-2021-06-18,DK,C_close_below_50d,2026-05-15,2021-06-18,23.4200,16.0700,15.9093,0.7667,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1179,-4.42,0.0232,0.1411,2,closed,5,45.5400,194.4,1761
DK-2021-11-19,DK,A_minervini_trail_ma,2026-05-15,2021-11-19,16.7600,15.3900,15.2361,0.7667,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1153,-4.32,0.0227,0.1380,2,closed,5,45.5400,271.7,1628
DK-2021-11-19,DK,B_fixed_R_multiple,2026-05-15,2021-11-19,16.7600,15.3900,15.2361,0.7667,true,2026-05-19,45.6000,2026-05-22,43.6800,open_at_data_tail,-0.0632,-2.37,0.0227,0.0860,3,open,5,45.5400,271.7,1628
DK-2021-11-19,DK,C_close_below_50d,2026-05-15,2021-11-19,16.7600,15.3900,15.2361,0.7667,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1153,-4.32,0.0227,0.1380,2,closed,5,45.5400,271.7,1628
DK-2021-11-29,DK,A_minervini_trail_ma,2026-05-15,2021-11-29,16.9700,14.6900,14.5431,0.7667,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1127,-4.23,0.0222,0.1349,2,closed,5,45.5400,268.4,1607
DK-2021-11-29,DK,B_fixed_R_multiple,2026-05-15,2021-11-29,16.9700,14.6900,14.5431,0.7667,true,2026-05-19,45.6000,2026-05-22,43.6800,open_at_data_tail,-0.0618,-2.32,0.0222,0.0840,3,open,5,45.5400,268.4,1607
DK-2021-11-29,DK,C_close_below_50d,2026-05-15,2021-11-29,16.9700,14.6900,14.5431,0.7667,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1127,-4.23,0.0222,0.1349,2,closed,5,45.5400,268.4,1607
DK-2022-05-09,DK,A_minervini_trail_ma,2026-05-15,2022-05-09,34.4200,25.0000,24.7500,0.8333,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1679,-6.29,0.0331,0.2010,2,closed,5,45.5400,132.3,1421
DK-2022-05-09,DK,B_fixed_R_multiple,2026-05-15,2022-05-09,34.4200,25.0000,24.7500,0.8333,true,2026-05-19,45.6000,2026-05-22,43.6800,open_at_data_tail,-0.0921,-3.45,0.0331,0.1252,3,open,5,45.5400,132.3,1421
DK-2022-05-09,DK,C_close_below_50d,2026-05-15,2022-05-09,34.4200,25.0000,24.7500,0.8333,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1679,-6.29,0.0331,0.2010,2,closed,5,45.5400,132.3,1421
DK-2022-10-14,DK,A_minervini_trail_ma,2026-05-15,2022-10-14,34.8600,25.9100,25.6509,0.7667,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1754,-6.58,0.0346,0.2100,2,closed,5,45.5400,130.6,1243
DK-2022-10-14,DK,B_fixed_R_multiple,2026-05-15,2022-10-14,34.8600,25.9100,25.6509,0.7667,true,2026-05-19,45.6000,2026-05-22,43.6800,open_at_data_tail,-0.0962,-3.61,0.0346,0.1308,3,open,5,45.5400,130.6,1243
DK-2022-10-14,DK,C_close_below_50d,2026-05-15,2022-10-14,34.8600,25.9100,25.6509,0.7667,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1754,-6.58,0.0346,0.2100,2,closed,5,45.5400,130.6,1243
DK-2023-03-15,DK,A_minervini_trail_ma,2026-05-15,2023-03-15,24.8600,19.6200,19.4238,0.7667,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1337,-5.01,0.0264,0.1601,2,closed,5,45.5400,183.2,1107
DK-2023-03-15,DK,B_fixed_R_multiple,2026-05-15,2023-03-15,24.8600,19.6200,19.4238,0.7667,true,2026-05-19,45.6000,2026-05-22,43.6800,open_at_data_tail,-0.0733,-2.75,0.0264,0.0997,3,open,5,45.5400,183.2,1107
DK-2023-03-15,DK,C_close_below_50d,2026-05-15,2023-03-15,24.8600,19.6200,19.4238,0.7667,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1337,-5.01,0.0264,0.1601,2,closed,5,45.5400,183.2,1107
DK-2023-08-31,DK,A_minervini_trail_ma,2026-05-15,2023-08-31,30.7100,24.8200,24.5718,0.7667,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1664,-6.24,0.0328,0.1993,2,closed,5,45.5400,148.3,952
DK-2023-08-31,DK,B_fixed_R_multiple,2026-05-15,2023-08-31,30.7100,24.8200,24.5718,0.7667,true,2026-05-19,45.6000,2026-05-22,43.6800,open_at_data_tail,-0.0913,-3.42,0.0328,0.1241,3,open,5,45.5400,148.3,952
