pattern_id,ticker,ruleset_name,anchor_asof_date,trough_1_date,center_peak_price,trough_2_price,initial_stop,composite_score,triggered,entry_date,entry_price,exit_date,exit_price,exit_reason,r_multiple,trade_pnl_dollars,peak_unrealized_R,drawdown_to_exit_R,days_held,status,forward_bars_available,max_forward_close,max_close_pct_of_peak,days_t2_to_asof
DK-2026-03-09,DK,A_minervini_trail_ma,2026-05-15,2026-03-09,45.4100,42.3900,41.9661,0.7406,true,2026-05-20,45.2800,2026-05-21,42.1000,close_below_50d,-0.9596,-35.98,0.2233,1.1829,1,closed,5,45.5400,100.3,53
DK-2026-03-09,DK,B_fixed_R_multiple,2026-05-15,2026-03-09,45.4100,42.3900,41.9661,0.7406,true,2026-05-20,45.2800,2026-05-22,43.6800,open_at_data_tail,-0.4828,-18.11,0.2233,0.7061,2,open,5,45.5400,100.3,53
DK-2026-03-09,DK,C_close_below_50d,2026-05-15,2026-03-09,45.4100,42.3900,41.9661,0.7406,true,2026-05-20,45.2800,2026-05-21,42.1000,close_below_50d,-0.9596,-35.98,0.2233,1.1829,1,closed,5,45.5400,100.3,53
DNTH-2026-02-13,DNTH,A_minervini_trail_ma,2026-04-27,2026-02-13,86.9200,77.7600,76.9824,0.7650,false,,,,,untriggered,,,,,,untriggered,3,87.8000,101.0,38
DNTH-2026-02-13,DNTH,B_fixed_R_multiple,2026-04-27,2026-02-13,86.9200,77.7600,76.9824,0.7650,false,,,,,untriggered,,,,,,untriggered,3,87.8000,101.0,38
DNTH-2026-02-13,DNTH,C_close_below_50d,2026-04-27,2026-02-13,86.9200,77.7600,76.9824,0.7650,false,,,,,untriggered,,,,,,untriggered,3,87.8000,101.0,38
KOD-2026-02-05,KOD,A_minervini_trail_ma,2026-04-29,2026-02-05,27.9800,21.8500,21.6315,0.8567,true,2026-05-05,42.9500,2026-05-11,39.8500,open_at_data_tail,-0.1454,-5.45,0.1524,0.2979,4,open,6,45.8900,164.0,38
KOD-2026-02-05,KOD,B_fixed_R_multiple,2026-04-29,2026-02-05,27.9800,21.8500,21.6315,0.8567,true,2026-05-05,42.9500,2026-05-11,39.8500,open_at_data_tail,-0.1454,-5.45,0.1524,0.2979,4,open,6,45.8900,164.0,38
KOD-2026-02-05,KOD,C_close_below_50d,2026-04-29,2026-02-05,27.9800,21.8500,21.6315,0.8567,true,2026-05-05,42.9500,2026-05-11,39.8500,open_at_data_tail,-0.1454,-5.45,0.1524,0.2979,4,open,6,45.8900,164.0,38
OII-2026-03-13,OII,A_minervini_trail_ma,2026-04-21,2026-03-13,37.2000,34.3700,34.0263,0.8333,true,2026-04-23,36.2500,2026-04-27,37.9850,open_at_data_tail,0.7802,29.26,1.7403,0.9601,2,open,4,38.4700,103.4,20
